,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
121,brasileiro-a,2017,18,03-08,Vasco,Cruzeiro,0,3,VISITANTE,9.0,7.0,0.4,0.47,0.43,0.47
122,brasileiro-a,2017,18,03-08,Atlético-PR,Avaí,5,0,MANDANTE,10.0,18.0,0.33,0.33,0.4,0.5
123,brasileiro-a,2017,18,03-08,São Paulo,Coritiba,1,2,VISITANTE,17.0,14.0,0.2,0.53,0.17,0.3
124,brasileiro-a,2017,18,02-08,Atlético-GO,Grêmio,0,1,VISITANTE,20.0,2.0,0.73,0.33,0.5,0.2
125,brasileiro-a,2017,18,02-08,Botafogo,Palmeiras,1,2,VISITANTE,8.0,4.0,0.67,0.53,0.73,0.5
126,brasileiro-a,2017,18,02-08,Santos,Flamengo,3,2,MANDANTE,3.0,5.0,0.4,0.73,0.63,0.63
127,brasileiro-a,2017,18,02-08,Atlético-MG,Corinthians,0,2,VISITANTE,11.0,1.0,0.6,0.4,0.73,0.57
128,brasileiro-a,2017,18,02-08,Vitória,Ponte Preta,3,1,MANDANTE,19.0,13.0,0.47,0.07,0.4,0.27
129,brasileiro-a,2017,18,02-08,Chapecoense,Bahia,1,1,EMPATE,15.0,16.0,0.47,0.4,0.3,0.27
130,brasileiro-a,2017,18,02-08,Sport Recife,Fluminense,2,2,EMPATE,6.0,12.0,0.33,0.6,0.4,0.63
131,brasileiro-a,2017,17,31-07,Vasco,Atlético-PR,0,1,VISITANTE,8.0,14.0,0.2,0.47,0.5,0.47
132,brasileiro-a,2017,17,30-07,Cruzeiro,Vitória,0,0,EMPATE,9.0,19.0,0.2,0.53,0.27,0.4
133,brasileiro-a,2017,17,30-07,Grêmio,Santos,1,1,EMPATE,2.0,3.0,0.87,0.67,0.7,0.57
134,brasileiro-a,2017,17,30-07,Bahia,Sport Recife,1,3,VISITANTE,15.0,6.0,0.6,0.53,0.57,0.33
135,brasileiro-a,2017,17,30-07,Corinthians,Flamengo,1,1,EMPATE,1.0,5.0,0.53,0.73,0.7,0.8
136,brasileiro-a,2017,17,30-07,Coritiba,Atlético-MG,0,2,VISITANTE,17.0,10.0,0.27,0.2,0.47,0.2
137,brasileiro-a,2017,17,30-07,Chapecoense,Atlético-GO,1,2,VISITANTE,13.0,20.0,0.13,0.47,0.2,0.37
138,brasileiro-a,2017,17,29-07,Palmeiras,Avaí,2,0,MANDANTE,4.0,18.0,0.53,0.47,0.4,0.63
139,brasileiro-a,2017,17,29-07,Botafogo,São Paulo,3,4,VISITANTE,7.0,16.0,0.33,0.6,0.23,0.53
140,brasileiro-a,2017,16,24-07,São Paulo,Grêmio,1,1,EMPATE,18.0,2.0,0.6,0.27,0.63,0.2
141,brasileiro-a,2017,16,23-07,Atlético-GO,Botafogo,1,1,EMPATE,20.0,7.0,0.53,0.13,0.53,0.17
142,brasileiro-a,2017,16,23-07,Atlético-MG,Vasco,1,2,VISITANTE,13.0,8.0,0.33,0.47,0.47,0.47
143,brasileiro-a,2017,16,23-07,Atlético-PR,Ponte Preta,0,2,VISITANTE,16.0,10.0,0.27,0.2,0.37,0.5
144,brasileiro-a,2017,16,23-07,Avaí,Cruzeiro,1,0,MANDANTE,17.0,9.0,0.53,0.4,0.5,0.33
145,brasileiro-a,2017,16,23-07,Fluminense,Corinthians,0,1,VISITANTE,12.0,1.0,0.73,0.4,0.8,0.37
146,brasileiro-a,2017,16,23-07,Sport Recife,Palmeiras,0,2,VISITANTE,6.0,5.0,0.47,0.8,0.63,0.57
147,brasileiro-a,2017,16,23-07,Santos,Bahia,3,0,MANDANTE,3.0,14.0,0.6,0.73,0.33,0.7
148,brasileiro-a,2017,16,22-07,Flamengo,Coritiba,2,1,MANDANTE,4.0,15.0,0.27,0.53,0.23,0.63
149,brasileiro-a,2017,16,22-07,Vitória,Chapecoense,1,2,VISITANTE,19.0,11.0,0.33,0.27,0.27,0.37
150,brasileiro-a,2017,15,20-07,Atlético-PR,Botafogo,0,0,EMPATE,16.0,7.0,0.47,0.33,0.5,0.5
151,brasileiro-a,2017,15,20-07,Sport Recife,Atlético-GO,4,0,MANDANTE,5.0,20.0,0.13,0.8,0.27,0.57
152,brasileiro-a,2017,15,20-07,Fluminense,Cruzeiro,1,1,EMPATE,9.0,8.0,0.67,0.4,0.47,0.37
153,brasileiro-a,2017,15,19-07,Atlético-MG,Bahia,0,2,VISITANTE,11.0,12.0,0.4,0.67,0.33,0.57
154,brasileiro-a,2017,15,19-07,Flamengo,Palmeiras,2,2,EMPATE,4.0,6.0,0.6,0.67,0.6,0.6
155,brasileiro-a,2017,15,19-07,São Paulo,Vasco,1,0,MANDANTE,17.0,10.0,0.53,0.13,0.47,0.2
156,brasileiro-a,2017,15,19-07,Avaí,Corinthians,0,0,EMPATE,18.0,1.0,0.87,0.53,0.87,0.3
157,brasileiro-a,2017,15,19-07,Ponte Preta,Coritiba,4,0,MANDANTE,14.0,13.0,0.27,0.07,0.33,0.27
158,brasileiro-a,2017,15,19-07,Santos,Chapecoense,1,0,MANDANTE,3.0,15.0,0.33,0.53,0.27,0.7
159,brasileiro-a,2017,15,19-07,Vitória,Grêmio,1,3,VISITANTE,19.0,2.0,0.4,0.27,0.63,0.37
160,brasileiro-a,2017,14,17-07,Botafogo,Sport Recife,2,1,MANDANTE,6.0,8.0,0.87,0.47,0.57,0.43
161,brasileiro-a,2017,14,16-07,Bahia,Avaí,1,1,EMPATE,14.0,17.0,0.47,0.33,0.37,0.4
162,brasileiro-a,2017,14,16-07,Coritiba,Fluminense,1,2,VISITANTE,12.0,10.0,0.4,0.27,0.37,0.43
163,brasileiro-a,2017,14,16-07,Atlético-GO,Atlético-MG,1,2,VISITANTE,20.0,11.0,0.53,0.13,0.5,0.27
164,brasileiro-a,2017,14,16-07,Chapecoense,São Paulo,2,0,MANDANTE,13.0,18.0,0.13,0.13,0.2,0.27
165,brasileiro-a,2017,14,16-07,Cruzeiro,Flamengo,1,1,EMPATE,7.0,4.0,0.8,0.6,0.6,0.43
166,brasileiro-a,2017,14,16-07,Grêmio,Ponte Preta,3,1,MANDANTE,2.0,16.0,0.27,0.4,0.37,0.63
167,brasileiro-a,2017,14,16-07,Vasco,Santos,0,0,EMPATE,9.0,3.0,0.67,0.47,0.67,0.43
168,brasileiro-a,2017,14,16-07,Palmeiras,Vitória,4,2,MANDANTE,5.0,19.0,0.27,0.6,0.37,0.53
169,brasileiro-a,2017,14,15-07,Corinthians,Atlético-PR,2,2,EMPATE,1.0,15.0,0.47,1.0,0.47,0.93
