,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
2641,brasileiro-a,2011,8,07-07,América-MG,Palmeiras,1,1,EMPATE,18.0,5.0,0.67,0.13,0.61,0.11
2642,brasileiro-a,2011,8,07-07,Botafogo,Atlético-GO,1,1,EMPATE,6.0,15.0,0.27,0.73,0.22,0.78
2643,brasileiro-a,2011,8,07-07,Coritiba,Figueirense,3,0,MANDANTE,12.0,7.0,0.67,0.47,0.56,0.39
2644,brasileiro-a,2011,8,06-07,Ceará,Atlético-MG,3,0,MANDANTE,13.0,17.0,0.13,0.27,0.28,0.39
2645,brasileiro-a,2011,8,06-07,Corinthians,Vasco,2,1,MANDANTE,1.0,11.0,0.33,0.73,0.44,0.78
2646,brasileiro-a,2011,8,06-07,Flamengo,São Paulo,1,0,MANDANTE,2.0,3.0,0.6,0.6,0.67,0.56
2647,brasileiro-a,2011,8,06-07,Avaí,Bahia,2,2,EMPATE,19.0,14.0,0.47,0.13,0.44,0.11
2648,brasileiro-a,2011,8,06-07,Cruzeiro,Grêmio,2,0,MANDANTE,9.0,16.0,0.33,0.53,0.44,0.5
2649,brasileiro-a,2011,8,06-07,Internacional,Atlético-PR,1,0,MANDANTE,4.0,20.0,0.07,0.73,0.06,0.61
2650,brasileiro-a,2011,6,02-07,Santos,América-MG,1,0,MANDANTE,10.0,17.0,0.17,0.42,0.17,0.42
2651,brasileiro-a,2011,7,30-06,Atlético-MG,Internacional,0,4,VISITANTE,14.0,8.0,0.53,0.33,0.53,0.33
2652,brasileiro-a,2011,7,30-06,Fluminense,Atlético-PR,3,1,MANDANTE,7.0,20.0,0.07,0.6,0.07,0.6
2653,brasileiro-a,2011,7,30-06,Coritiba,Ceará,3,1,MANDANTE,15.0,17.0,0.47,0.27,0.47,0.27
2654,brasileiro-a,2011,7,30-06,Palmeiras,Atlético-GO,2,0,MANDANTE,3.0,16.0,0.27,0.53,0.27,0.53
2655,brasileiro-a,2011,7,29-06,Bahia,Corinthians,0,1,VISITANTE,13.0,1.0,0.73,0.53,0.73,0.53
2656,brasileiro-a,2011,7,29-06,Figueirense,Santos,2,1,MANDANTE,5.0,11.0,0.53,0.47,0.53,0.47
2657,brasileiro-a,2011,7,29-06,São Paulo,Botafogo,0,2,VISITANTE,2.0,4.0,0.73,0.8,0.73,0.8
2658,brasileiro-a,2011,7,29-06,América-MG,Flamengo,2,3,VISITANTE,18.0,6.0,0.47,0.13,0.47,0.13
2659,brasileiro-a,2011,7,29-06,Grêmio,Avaí,2,2,EMPATE,12.0,19.0,0.07,0.47,0.07,0.47
2660,brasileiro-a,2011,7,29-06,Vasco,Cruzeiro,0,3,VISITANTE,9.0,10.0,0.4,0.53,0.4,0.53
2661,brasileiro-a,2011,6,26-06,Atlético-GO,Vasco,0,1,VISITANTE,13.0,5.0,0.42,0.33,0.42,0.33
2662,brasileiro-a,2011,6,26-06,Internacional,Figueirense,4,1,MANDANTE,9.0,6.0,0.58,0.42,0.58,0.42
2663,brasileiro-a,2011,6,26-06,Avaí,Fluminense,0,1,VISITANTE,20.0,8.0,0.5,0.08,0.5,0.08
2664,brasileiro-a,2011,6,26-06,Botafogo,Grêmio,2,1,MANDANTE,4.0,14.0,0.58,0.67,0.58,0.67
2665,brasileiro-a,2011,6,26-06,Ceará,Palmeiras,2,0,MANDANTE,15.0,3.0,0.67,0.33,0.67,0.33
2666,brasileiro-a,2011,6,26-06,Corinthians,São Paulo,5,0,MANDANTE,2.0,1.0,1.0,0.67,1.0,0.67
2667,brasileiro-a,2011,6,25-06,Cruzeiro,Coritiba,2,1,MANDANTE,16.0,18.0,0.33,0.25,0.33,0.25
2668,brasileiro-a,2011,6,25-06,Atlético-PR,Bahia,0,2,VISITANTE,19.0,12.0,0.42,0.08,0.42,0.08
2669,brasileiro-a,2011,6,25-06,Flamengo,Atlético-MG,4,1,MANDANTE,7.0,11.0,0.42,0.33,0.42,0.33
2670,brasileiro-a,2011,5,19-06,Atlético-MG,Atlético-GO,2,2,EMPATE,5.0,8.0,0.33,0.44,0.33,0.44
2671,brasileiro-a,2011,5,19-06,Coritiba,Internacional,1,1,EMPATE,16.0,12.0,0.44,0.33,0.44,0.33
2672,brasileiro-a,2011,5,19-06,Ceará,São Paulo,0,2,VISITANTE,17.0,1.0,1.0,0.44,1.0,0.44
2673,brasileiro-a,2011,5,19-06,Figueirense,Atlético-PR,2,0,MANDANTE,4.0,19.0,0.11,0.44,0.11,0.44
2674,brasileiro-a,2011,5,19-06,Flamengo,Botafogo,0,0,EMPATE,10.0,6.0,0.78,0.33,0.78,0.33
2675,brasileiro-a,2011,5,19-06,Grêmio,Vasco,1,1,EMPATE,9.0,7.0,0.44,0.67,0.44,0.67
2676,brasileiro-a,2011,5,19-06,Palmeiras,Avaí,5,0,MANDANTE,2.0,20.0,0.11,0.56,0.11,0.56
2677,brasileiro-a,2011,5,18-06,América-MG,Cruzeiro,1,1,EMPATE,15.0,18.0,0.22,0.11,0.22,0.11
2678,brasileiro-a,2011,5,18-06,Fluminense,Bahia,0,1,VISITANTE,11.0,14.0,0.22,0.67,0.22,0.67
2679,brasileiro-a,2011,4,12-06,Atlético-PR,Flamengo,1,1,EMPATE,19.0,11.0,0.33,0.0,0.33,0.0
2680,brasileiro-a,2011,4,12-06,Botafogo,Coritiba,3,1,MANDANTE,5.0,16.0,0.5,0.67,0.5,0.67
2681,brasileiro-a,2011,4,12-06,Atlético-GO,Ceará,4,1,MANDANTE,8.0,15.0,0.67,0.0,0.67,0.0
2682,brasileiro-a,2011,4,12-06,Bahia,Atlético-MG,1,1,EMPATE,18.0,4.0,0.5,0.17,0.5,0.17
2683,brasileiro-a,2011,4,12-06,Corinthians,Fluminense,2,0,MANDANTE,2.0,10.0,1.0,0.67,1.0,0.67
2684,brasileiro-a,2011,4,12-06,Internacional,Palmeiras,2,2,EMPATE,12.0,3.0,0.67,0.5,0.67,0.5
2685,brasileiro-a,2011,4,11-06,Vasco,Figueirense,1,1,EMPATE,7.0,6.0,0.5,0.5,0.5,0.5
2686,brasileiro-a,2011,4,11-06,Avaí,América-MG,2,2,EMPATE,20.0,14.0,0.0,0.0,0.0,0.0
2687,brasileiro-a,2011,4,11-06,Cruzeiro,Santos,1,1,EMPATE,17.0,13.0,0.5,0.17,0.5,0.17
2688,brasileiro-a,2011,4,11-06,São Paulo,Grêmio,3,1,MANDANTE,1.0,9.0,1.0,1.0,1.0,1.0
2689,brasileiro-a,2011,3,08-06,Atlético-MG,São Paulo,0,1,VISITANTE,4.0,1.0,1.0,1.0,1.0,1.0
2690,brasileiro-a,2011,3,05-06,América-MG,Internacional,2,4,VISITANTE,16.0,10.0,0.0,0.0,0.0,0.0
2691,brasileiro-a,2011,3,05-06,Santos,Avaí,3,1,MANDANTE,11.0,20.0,0.0,0.0,0.0,0.0
2692,brasileiro-a,2011,3,05-06,Coritiba,Vasco,5,1,MANDANTE,14.0,7.0,1.0,0.0,1.0,0.0
2693,brasileiro-a,2011,3,05-06,Flamengo,Corinthians,1,1,EMPATE,9.0,2.0,1.0,0.33,1.0,0.33
2694,brasileiro-a,2011,3,05-06,Grêmio,Bahia,2,0,MANDANTE,5.0,18.0,0.33,1.0,0.33,1.0
2695,brasileiro-a,2011,3,04-06,Figueirense,Atlético-GO,2,0,MANDANTE,6.0,15.0,0.0,0.0,0.0,0.0
2696,brasileiro-a,2011,3,04-06,Ceará,Botafogo,2,2,EMPATE,13.0,12.0,1.0,1.0,1.0,1.0
2697,brasileiro-a,2011,3,04-06,Fluminense,Cruzeiro,2,1,MANDANTE,8.0,17.0,0.33,1.0,0.33,1.0
2698,brasileiro-a,2011,3,04-06,Palmeiras,Atlético-PR,1,0,MANDANTE,3.0,19.0,0.0,0.33,0.0,0.33
2699,brasileiro-a,2011,2,29-05,Atlético-GO,Fluminense,0,1,VISITANTE,8.0,12.0,0.0,0.0,0.0,0.0
2700,brasileiro-a,2011,2,29-05,Vasco,América-MG,3,0,MANDANTE,2.0,13.0,0.0,0.0,0.0,0.0
2701,brasileiro-a,2011,2,29-05,Atlético-PR,Grêmio,0,1,VISITANTE,19.0,7.0,0.0,0.0,0.0,0.0
2702,brasileiro-a,2011,2,29-05,Bahia,Flamengo,3,3,EMPATE,14.0,5.0,0.0,0.0,0.0,0.0
2703,brasileiro-a,2011,2,29-05,Corinthians,Coritiba,2,1,MANDANTE,4.0,18.0,0.0,0.0,0.0,0.0
2704,brasileiro-a,2011,2,29-05,Cruzeiro,Palmeiras,1,1,EMPATE,17.0,6.0,0.0,0.0,0.0,0.0
2705,brasileiro-a,2011,2,28-05,São Paulo,Figueirense,1,0,MANDANTE,3.0,9.0,0.0,0.0,0.0,0.0
2706,brasileiro-a,2011,2,28-05,Avaí,Atlético-MG,1,3,VISITANTE,20.0,1.0,0.0,0.0,0.0,0.0
2707,brasileiro-a,2011,2,28-05,Botafogo,Santos,1,0,MANDANTE,10.0,16.0,0.0,0.0,0.0,0.0
2708,brasileiro-a,2011,2,28-05,Internacional,Ceará,0,1,VISITANTE,15.0,11.0,0.0,0.0,0.0,0.0
2709,brasileiro-a,2011,1,22-05,América-MG,Bahia,2,1,MANDANTE,6.0,12.0,0.0,0.0,0.0,0.0
2710,brasileiro-a,2011,1,22-05,Fluminense,São Paulo,0,2,VISITANTE,18.0,4.0,0.0,0.0,0.0,0.0
2711,brasileiro-a,2011,1,22-05,Coritiba,Atlético-GO,0,1,VISITANTE,16.0,7.0,0.0,0.0,0.0,0.0
2712,brasileiro-a,2011,1,22-05,Figueirense,Cruzeiro,1,0,MANDANTE,8.0,15.0,0.0,0.0,0.0,0.0
2713,brasileiro-a,2011,1,22-05,Grêmio,Corinthians,1,2,VISITANTE,13.0,5.0,0.0,0.0,0.0,0.0
2714,brasileiro-a,2011,1,22-05,Palmeiras,Botafogo,1,0,MANDANTE,9.0,14.0,0.0,0.0,0.0,0.0
2715,brasileiro-a,2011,1,21-05,Santos,Internacional,1,1,EMPATE,11.0,10.0,0.0,0.0,0.0,0.0
2716,brasileiro-a,2011,1,21-05,Atlético-MG,Atlético-PR,3,0,MANDANTE,2.0,19.0,0.0,0.0,0.0,0.0
2717,brasileiro-a,2011,1,21-05,Ceará,Vasco,1,3,VISITANTE,17.0,3.0,0.0,0.0,0.0,0.0
2718,brasileiro-a,2011,1,21-05,Flamengo,Avaí,4,0,MANDANTE,1.0,20.0,0.0,0.0,0.0,0.0
2719,brasileiro-a,2010,38,05-12,Atlético-PR,Avaí,1,0,MANDANTE,5.0,15.0,0.67,0.67,0.47,0.5
2720,brasileiro-a,2010,38,05-12,Cruzeiro,Palmeiras,2,1,MANDANTE,2.0,10.0,0.2,0.6,0.37,0.6
2721,brasileiro-a,2010,38,05-12,Fluminense,Guarani,1,0,MANDANTE,1.0,18.0,0.13,0.73,0.13,0.53
2722,brasileiro-a,2010,38,05-12,Goias,Corinthians,1,1,EMPATE,19.0,3.0,0.87,0.07,0.6,0.23
2723,brasileiro-a,2010,38,05-12,Grêmio,Botafogo,3,0,MANDANTE,4.0,6.0,0.53,0.87,0.57,0.7
2724,brasileiro-a,2010,38,05-12,Santos,Flamengo,0,0,EMPATE,8.0,14.0,0.27,0.4,0.43,0.43
2725,brasileiro-a,2010,38,05-12,São Paulo,Atlético-MG,4,0,MANDANTE,9.0,13.0,0.73,0.33,0.67,0.57
2726,brasileiro-a,2010,38,05-12,Vasco,Ceará,2,0,MANDANTE,11.0,12.0,0.27,0.27,0.5,0.23
2727,brasileiro-a,2010,38,05-12,Vitória,Atlético-GO,0,0,EMPATE,17.0,16.0,0.33,0.27,0.5,0.33
