,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
138,brasileiro-a,2017,17,29-07,Palmeiras,Avaí,2,0,MANDANTE
139,brasileiro-a,2017,17,29-07,Botafogo,São Paulo,3,4,VISITANTE
140,brasileiro-a,2017,16,24-07,São Paulo,Grêmio,1,1,EMPATE
141,brasileiro-a,2017,16,23-07,Atlético-GO,Botafogo,1,1,EMPATE
142,brasileiro-a,2017,16,23-07,Atlético-MG,Vasco,1,2,VISITANTE
143,brasileiro-a,2017,16,23-07,Atlético-PR,Ponte Preta,0,2,VISITANTE
144,brasileiro-a,2017,16,23-07,Avaí,Cruzeiro,1,0,MANDANTE
145,brasileiro-a,2017,16,23-07,Fluminense,Corinthians,0,1,VISITANTE
146,brasileiro-a,2017,16,23-07,Sport Recife,Palmeiras,0,2,VISITANTE
147,brasileiro-a,2017,16,23-07,Santos,Bahia,3,0,MANDANTE
148,brasileiro-a,2017,16,22-07,Flamengo,Coritiba,2,1,MANDANTE
149,brasileiro-a,2017,16,22-07,Vitória,Chapecoense,1,2,VISITANTE
150,brasileiro-a,2017,15,20-07,Atlético-PR,Botafogo,0,0,EMPATE
151,brasileiro-a,2017,15,20-07,Sport Recife,Atlético-GO,4,0,MANDANTE
152,brasileiro-a,2017,15,20-07,Fluminense,Cruzeiro,1,1,EMPATE
153,brasileiro-a,2017,15,19-07,Atlético-MG,Bahia,0,2,VISITANTE
154,brasileiro-a,2017,15,19-07,Flamengo,Palmeiras,2,2,EMPATE
155,brasileiro-a,2017,15,19-07,São Paulo,Vasco,1,0,MANDANTE
156,brasileiro-a,2017,15,19-07,Avaí,Corinthians,0,0,EMPATE
157,brasileiro-a,2017,15,19-07,Ponte Preta,Coritiba,4,0,MANDANTE
158,brasileiro-a,2017,15,19-07,Santos,Chapecoense,1,0,MANDANTE
159,brasileiro-a,2017,15,19-07,Vitória,Grêmio,1,3,VISITANTE
160,brasileiro-a,2017,14,17-07,Botafogo,Sport Recife,2,1,MANDANTE
161,brasileiro-a,2017,14,16-07,Bahia,Avaí,1,1,EMPATE
162,brasileiro-a,2017,14,16-07,Coritiba,Fluminense,1,2,VISITANTE
163,brasileiro-a,2017,14,16-07,Atlético-GO,Atlético-MG,1,2,VISITANTE
164,brasileiro-a,2017,14,16-07,Chapecoense,São Paulo,2,0,MANDANTE
165,brasileiro-a,2017,14,16-07,Cruzeiro,Flamengo,1,1,EMPATE
166,brasileiro-a,2017,14,16-07,Grêmio,Ponte Preta,3,1,MANDANTE
167,brasileiro-a,2017,14,16-07,Vasco,Santos,0,0,EMPATE
168,brasileiro-a,2017,14,16-07,Palmeiras,Vitória,4,2,MANDANTE
169,brasileiro-a,2017,14,15-07,Corinthians,Atlético-PR,2,2,EMPATE
170,brasileiro-a,2017,13,13-07,Avaí,Coritiba,1,4,VISITANTE
171,brasileiro-a,2017,13,13-07,Flamengo,Grêmio,0,1,VISITANTE
172,brasileiro-a,2017,13,13-07,São Paulo,Atlético-GO,2,2,EMPATE
173,brasileiro-a,2017,13,13-07,Sport Recife,Chapecoense,3,0,MANDANTE
174,brasileiro-a,2017,13,12-07,Atlético-PR,Cruzeiro,0,2,VISITANTE
175,brasileiro-a,2017,13,12-07,Palmeiras,Corinthians,0,2,VISITANTE
176,brasileiro-a,2017,13,12-07,Vitória,Vasco,1,4,VISITANTE
177,brasileiro-a,2017,13,12-07,Fluminense,Botafogo,0,1,VISITANTE
178,brasileiro-a,2017,13,12-07,Atlético-MG,Santos,0,1,VISITANTE
179,brasileiro-a,2017,13,12-07,Ponte Preta,Bahia,0,3,VISITANTE
180,brasileiro-a,2017,12,10-07,Coritiba,Sport Recife,0,3,VISITANTE
181,brasileiro-a,2017,12,09-07,Botafogo,Atlético-MG,1,1,EMPATE
182,brasileiro-a,2017,12,09-07,Santos,São Paulo,3,2,MANDANTE
183,brasileiro-a,2017,12,09-07,Bahia,Fluminense,1,1,EMPATE
184,brasileiro-a,2017,12,09-07,Cruzeiro,Palmeiras,3,1,MANDANTE
185,brasileiro-a,2017,12,09-07,Grêmio,Avaí,0,2,VISITANTE
186,brasileiro-a,2017,12,09-07,Chapecoense,Atlético-PR,1,1,EMPATE
187,brasileiro-a,2017,12,08-07,Corinthians,Ponte Preta,2,0,MANDANTE
188,brasileiro-a,2017,12,08-07,Vasco,Flamengo,0,1,VISITANTE
189,brasileiro-a,2017,12,08-07,Atlético-GO,Vitória,1,2,VISITANTE
190,brasileiro-a,2017,11,03-07,Fluminense,Chapecoense,3,3,EMPATE
191,brasileiro-a,2017,11,02-07,Avaí,Ponte Preta,0,0,EMPATE
192,brasileiro-a,2017,11,02-07,Coritiba,Vasco,2,2,EMPATE
193,brasileiro-a,2017,11,02-07,Atlético-MG,Cruzeiro,3,1,MANDANTE
194,brasileiro-a,2017,11,02-07,Corinthians,Botafogo,1,0,MANDANTE
195,brasileiro-a,2017,11,02-07,Flamengo,São Paulo,2,0,MANDANTE
196,brasileiro-a,2017,11,02-07,Sport Recife,Atlético-PR,1,0,MANDANTE
197,brasileiro-a,2017,11,02-07,Vitória,Bahia,0,0,EMPATE
198,brasileiro-a,2017,11,01-07,Atlético-GO,Santos,1,1,EMPATE
199,brasileiro-a,2017,11,01-07,Palmeiras,Grêmio,1,0,MANDANTE
200,brasileiro-a,2017,10,26-06,Botafogo,Avaí,0,2,VISITANTE
201,brasileiro-a,2017,10,25-06,Chapecoense,Atlético-MG,0,1,VISITANTE
202,brasileiro-a,2017,10,25-06,Bahia,Flamengo,0,1,VISITANTE
