,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
201,brasileiro-a,2017,26,01-10,Botafogo,Vitória,2,3,VISITANTE
202,brasileiro-a,2017,26,01-10,Cruzeiro,Corinthians,1,1,EMPATE
203,brasileiro-a,2017,26,01-10,Grêmio,Fluminense,1,0,MANDANTE
204,brasileiro-a,2017,26,01-10,São Paulo,Sport Recife,1,0,MANDANTE
205,brasileiro-a,2017,26,30-09,Palmeiras,Santos,0,1,VISITANTE
206,brasileiro-a,2017,26,30-09,Bahia,Coritiba,1,1,EMPATE
207,brasileiro-a,2017,26,30-09,Vasco,Chapecoense,1,1,EMPATE
208,brasileiro-a,2017,25,25-09,Sport Recife,Vasco,1,1,EMPATE
209,brasileiro-a,2017,25,24-09,Atlético-MG,Vitória,1,3,VISITANTE
210,brasileiro-a,2017,25,24-09,Bahia,Grêmio,1,0,MANDANTE
211,brasileiro-a,2017,25,24-09,Atlético-GO,Cruzeiro,1,2,VISITANTE
212,brasileiro-a,2017,25,24-09,Chapecoense,Ponte Preta,1,0,MANDANTE
213,brasileiro-a,2017,25,24-09,Coritiba,Botafogo,2,3,VISITANTE
214,brasileiro-a,2017,25,24-09,Fluminense,Palmeiras,0,1,VISITANTE
215,brasileiro-a,2017,25,24-09,São Paulo,Corinthians,1,1,EMPATE
216,brasileiro-a,2017,25,23-09,Santos,Atlético-PR,1,0,MANDANTE
217,brasileiro-a,2017,25,23-09,Flamengo,Avaí,1,1,EMPATE
218,brasileiro-a,2017,24,18-09,Palmeiras,Coritiba,1,0,MANDANTE
219,brasileiro-a,2017,24,17-09,Cruzeiro,Bahia,1,0,MANDANTE
220,brasileiro-a,2017,24,17-09,Atlético-PR,Fluminense,3,1,MANDANTE
221,brasileiro-a,2017,24,17-09,Corinthians,Vasco,1,0,MANDANTE
222,brasileiro-a,2017,24,17-09,Flamengo,Sport Recife,2,0,MANDANTE
223,brasileiro-a,2017,24,17-09,Grêmio,Chapecoense,0,1,VISITANTE
224,brasileiro-a,2017,24,17-09,Vitória,São Paulo,1,2,VISITANTE
225,brasileiro-a,2017,24,17-09,Avaí,Atlético-MG,1,1,EMPATE
226,brasileiro-a,2017,24,16-09,Ponte Preta,Atlético-GO,1,3,VISITANTE
227,brasileiro-a,2017,24,16-09,Botafogo,Santos,2,0,MANDANTE
228,brasileiro-a,2017,23,11-09,Atlético-GO,Bahia,1,1,EMPATE
229,brasileiro-a,2017,23,10-09,Botafogo,Flamengo,2,0,MANDANTE
230,brasileiro-a,2017,23,10-09,Chapecoense,Cruzeiro,1,2,VISITANTE
231,brasileiro-a,2017,23,10-09,Santos,Corinthians,2,0,MANDANTE
232,brasileiro-a,2017,23,10-09,Sport Recife,Avaí,0,1,VISITANTE
233,brasileiro-a,2017,23,10-09,Vitória,Fluminense,2,2,EMPATE
234,brasileiro-a,2017,23,10-09,Atlético-PR,Coritiba,1,1,EMPATE
235,brasileiro-a,2017,23,09-09,São Paulo,Ponte Preta,2,2,EMPATE
236,brasileiro-a,2017,23,09-09,Vasco,Grêmio,1,0,MANDANTE
237,brasileiro-a,2017,23,09-09,Atlético-MG,Palmeiras,1,1,EMPATE
238,brasileiro-a,2017,22,02-09,Grêmio,Sport Recife,5,0,MANDANTE
239,brasileiro-a,2017,22,28-08,Coritiba,Vitória,0,1,VISITANTE
240,brasileiro-a,2017,22,27-08,Avaí,Chapecoense,1,0,MANDANTE
241,brasileiro-a,2017,22,27-08,Cruzeiro,Santos,1,1,EMPATE
242,brasileiro-a,2017,22,27-08,Bahia,Botafogo,1,2,VISITANTE
243,brasileiro-a,2017,22,27-08,Flamengo,Atlético-PR,2,0,MANDANTE
244,brasileiro-a,2017,22,27-08,Palmeiras,São Paulo,4,2,MANDANTE
245,brasileiro-a,2017,22,27-08,Ponte Preta,Atlético-MG,1,2,VISITANTE
246,brasileiro-a,2017,22,26-08,Corinthians,Atlético-GO,0,1,VISITANTE
247,brasileiro-a,2017,22,26-08,Fluminense,Vasco,0,1,VISITANTE
248,brasileiro-a,2017,20,23-08,Chapecoense,Corinthians,0,1,VISITANTE
249,brasileiro-a,2017,21,21-08,Fluminense,Atlético-MG,2,1,MANDANTE
250,brasileiro-a,2017,21,20-08,Coritiba,Santos,0,0,EMPATE
251,brasileiro-a,2017,21,20-08,Palmeiras,Chapecoense,0,2,VISITANTE
252,brasileiro-a,2017,21,20-08,Avaí,São Paulo,1,1,EMPATE
253,brasileiro-a,2017,21,20-08,Bahia,Vasco,3,0,MANDANTE
254,brasileiro-a,2017,21,20-08,Cruzeiro,Sport Recife,2,0,MANDANTE
255,brasileiro-a,2017,21,20-08,Ponte Preta,Botafogo,2,1,MANDANTE
256,brasileiro-a,2017,21,20-08,Grêmio,Atlético-PR,0,0,EMPATE
257,brasileiro-a,2017,21,19-08,Flamengo,Atlético-GO,2,0,MANDANTE
258,brasileiro-a,2017,21,19-08,Corinthians,Vitória,0,1,VISITANTE
259,brasileiro-a,2017,20,14-08,Santos,Fluminense,0,0,EMPATE
260,brasileiro-a,2017,20,13-08,Atlético-PR,Bahia,4,1,MANDANTE
261,brasileiro-a,2017,20,13-08,Botafogo,Grêmio,1,0,MANDANTE
262,brasileiro-a,2017,20,13-08,Atlético-MG,Flamengo,2,0,MANDANTE
263,brasileiro-a,2017,20,13-08,Sport Recife,Ponte Preta,0,0,EMPATE
264,brasileiro-a,2017,20,13-08,Vasco,Palmeiras,1,1,EMPATE
265,brasileiro-a,2017,20,13-08,São Paulo,Cruzeiro,3,2,MANDANTE
266,brasileiro-a,2017,20,12-08,Vitória,Avaí,0,1,VISITANTE
267,brasileiro-a,2017,20,12-08,Atlético-GO,Coritiba,1,0,MANDANTE
268,brasileiro-a,2017,17,09-08,Ponte Preta,Fluminense,0,0,EMPATE
269,brasileiro-a,2017,19,06-08,Avaí,Santos,0,0,EMPATE
270,brasileiro-a,2017,19,06-08,Ponte Preta,Vasco,0,0,EMPATE
271,brasileiro-a,2017,19,06-08,Bahia,São Paulo,2,1,MANDANTE
272,brasileiro-a,2017,19,06-08,Coritiba,Chapecoense,2,0,MANDANTE
273,brasileiro-a,2017,19,06-08,Cruzeiro,Botafogo,0,0,EMPATE
274,brasileiro-a,2017,19,06-08,Grêmio,Atlético-MG,2,0,MANDANTE
275,brasileiro-a,2017,19,06-08,Palmeiras,Atlético-PR,0,1,VISITANTE
276,brasileiro-a,2017,19,06-08,Flamengo,Vitória,0,2,VISITANTE
277,brasileiro-a,2017,19,05-08,Corinthians,Sport Recife,3,1,MANDANTE
278,brasileiro-a,2017,19,05-08,Fluminense,Atlético-GO,3,1,MANDANTE
279,brasileiro-a,2017,18,03-08,Vasco,Cruzeiro,0,3,VISITANTE
280,brasileiro-a,2017,18,03-08,Atlético-PR,Avaí,5,0,MANDANTE
281,brasileiro-a,2017,18,03-08,São Paulo,Coritiba,1,2,VISITANTE
282,brasileiro-a,2017,18,02-08,Atlético-GO,Grêmio,0,1,VISITANTE
283,brasileiro-a,2017,18,02-08,Botafogo,Palmeiras,1,2,VISITANTE
284,brasileiro-a,2017,18,02-08,Santos,Flamengo,3,2,MANDANTE
285,brasileiro-a,2017,18,02-08,Atlético-MG,Corinthians,0,2,VISITANTE
286,brasileiro-a,2017,18,02-08,Vitória,Ponte Preta,3,1,MANDANTE
287,brasileiro-a,2017,18,02-08,Chapecoense,Bahia,1,1,EMPATE
288,brasileiro-a,2017,18,02-08,Sport Recife,Fluminense,2,2,EMPATE
