,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
107,107,brasileiro-a,2017,35,15-11,Ponte Preta,Atlético-PR,2,1,MANDANTE,17.0,13.0,0.47,0.27,0.37,0.27
108,108,brasileiro-a,2017,34,13-11,Chapecoense,Santos,2,0,MANDANTE,13.0,4.0,0.47,0.6,0.5,0.53
109,109,brasileiro-a,2017,34,12-11,Coritiba,Ponte Preta,1,1,EMPATE,15.0,18.0,0.2,0.73,0.23,0.4
110,110,brasileiro-a,2017,34,12-11,Cruzeiro,Fluminense,3,1,MANDANTE,5.0,14.0,0.53,0.27,0.4,0.57
111,111,brasileiro-a,2017,34,12-11,Bahia,Atlético-MG,2,2,EMPATE,9.0,10.0,0.47,0.67,0.5,0.6
112,112,brasileiro-a,2017,34,12-11,Atlético-GO,Sport Recife,2,0,MANDANTE,20.0,17.0,0.13,0.07,0.23,0.27
113,113,brasileiro-a,2017,34,12-11,Grêmio,Vitória,1,1,EMPATE,2.0,16.0,0.33,0.53,0.4,0.47
114,114,brasileiro-a,2017,34,12-11,Palmeiras,Flamengo,2,0,MANDANTE,3.0,7.0,0.47,0.47,0.5,0.57
115,115,brasileiro-a,2017,34,12-11,Vasco,São Paulo,1,1,EMPATE,8.0,11.0,0.67,0.6,0.67,0.57
116,116,brasileiro-a,2017,34,11-11,Corinthians,Avaí,1,0,MANDANTE,1.0,19.0,0.33,0.47,0.23,0.5
117,117,brasileiro-a,2017,34,11-11,Botafogo,Atlético-PR,0,1,VISITANTE,6.0,12.0,0.47,0.53,0.37,0.57
118,118,brasileiro-a,2017,33,09-11,Fluminense,Coritiba,2,2,EMPATE,12.0,15.0,0.67,0.67,0.4,0.4
119,119,brasileiro-a,2017,33,09-11,Atlético-MG,Atlético-GO,3,2,MANDANTE,10.0,20.0,0.07,0.33,0.3,0.43
120,120,brasileiro-a,2017,33,09-11,São Paulo,Chapecoense,2,2,EMPATE,11.0,14.0,0.53,0.8,0.5,0.67
121,121,brasileiro-a,2017,33,08-11,Flamengo,Cruzeiro,2,0,MANDANTE,7.0,6.0,0.47,0.47,0.67,0.4
122,122,brasileiro-a,2017,33,08-11,Santos,Vasco,1,2,VISITANTE,3.0,8.0,0.6,0.53,0.57,0.6
123,123,brasileiro-a,2017,33,08-11,Vitória,Palmeiras,3,1,MANDANTE,16.0,4.0,0.67,0.2,0.6,0.33
124,124,brasileiro-a,2017,33,08-11,Atlético-PR,Corinthians,0,1,VISITANTE,13.0,1.0,0.27,0.47,0.4,0.4
125,125,brasileiro-a,2017,33,08-11,Sport Recife,Botafogo,1,2,VISITANTE,17.0,5.0,0.33,0.2,0.57,0.23
126,126,brasileiro-a,2017,33,08-11,Avaí,Bahia,1,2,VISITANTE,19.0,9.0,0.67,0.33,0.53,0.33
127,127,brasileiro-a,2017,33,08-11,Ponte Preta,Grêmio,0,1,VISITANTE,18.0,2.0,0.53,0.2,0.37,0.27
128,128,brasileiro-a,2017,32,05-11,Chapecoense,Sport Recife,1,1,EMPATE,14.0,16.0,0.33,0.47,0.2,0.47
